left_index,right_index,left_ns,right_ns,elapsed_ns,signed_delta_ns,absolute_delta_ns,left_interval_ns,right_interval_ns,within_0_5_ms,within_2_ms
2582,2582,1789458660288850000,1789458660288794000,86124117000,56000,56000,33369000,33370000,True,True
2583,2583,1789458660322221000,1789458660322165000,86157488000,56000,56000,33371000,33371000,True,True
2584,2584,1789458660355590000,1789458660355535000,86190857000,55000,55000,33369000,33370000,True,True
2585,2585,1789458660388959000,1789458660388903000,86224226000,56000,56000,33369000,33368000,True,True
2586,2586,1789458660422328000,1789458660422274000,86257595000,54000,54000,33369000,33371000,True,True
2587,2587,1789458660455697000,1789458660455643000,86290964000,54000,54000,33369000,33369000,True,True
2588,2588,1789458660489067000,1789458660489013000,86324334000,54000,54000,33370000,33370000,True,True
2589,2589,1789458660522437000,1789458660522383000,86357704000,54000,54000,33370000,33370000,True,True
2590,2590,1789458660555806000,1789458660555754000,86391073000,52000,52000,33369000,33371000,True,True
2591,2591,1789458660589174000,1789458660589121000,86424441000,53000,53000,33368000,33367000,True,True
2592,2592,1789458660622545000,1789458660622492000,86457812000,53000,53000,33371000,33371000,True,True
2593,2593,1789458660655915000,1789458660655862000,86491182000,53000,53000,33370000,33370000,True,True
2594,2594,1789458660689284000,1789458660689233000,86524551000,51000,51000,33369000,33371000,True,True
2595,2595,1789458660722658000,1789458660722603000,86557925000,55000,55000,33374000,33370000,True,True
2596,2596,1789458660756027000,1789458660755972000,86591294000,55000,55000,33369000,33369000,True,True
2597,2597,1789458660789396000,1789458660789342000,86624663000,54000,54000,33369000,33370000,True,True
2598,2598,1789458660822766000,1789458660822712000,86658033000,54000,54000,33370000,33370000,True,True
2599,2599,1789458660856136000,1789458660856081000,86691403000,55000,55000,33370000,33369000,True,True
2600,2600,1789458660889505000,1789458660889451000,86724772000,54000,54000,33369000,33370000,True,True
2601,2601,1789458660922875000,1789458660922823000,86758142000,52000,52000,33370000,33372000,True,True
2602,2602,1789458660956245000,1789458660956191000,86791512000,54000,54000,33370000,33368000,True,True
